Area_name,Delim,POP010210D
"Warren, IL",#,17707
"Washington, IL",#,14716
"Wayne, IL",#,16760
"White, IL",#,14665
"Whiteside, IL",#,58498
"Will, IL",#,677560
"Williamson, IL",#,66357
"Winnebago, IL",#,295266
"Woodford, IL",#,38664
INDIANA,#,6483802
"Adams, IN",#,34387
"Allen, IN",#,355329
"Bartholomew, IN",#,76794
"Benton, IN",#,8854
"Blackford, IN",#,12766
"Boone, IN",#,56640
"Brown, IN",#,15242
"Carroll, IN",#,20155
"Cass, IN",#,38966
"Clark, IN",#,110232
"Clay, IN",#,26890
"Clinton, IN",#,33224
"Crawford, IN",#,10713
"Daviess, IN",#,31648
"Dearborn, IN",#,50047
"Decatur, IN",#,25740
"DeKalb, IN",#,42223
"Delaware, IN",#,117671
"Dubois, IN",#,41889
"Elkhart, IN",#,197559
"Fayette, IN",#,24277
"Floyd, IN",#,74578
"Fountain, IN",#,17240
"Franklin, IN",#,23087
"Fulton, IN",#,20836
"Gibson, IN",#,33503
"Grant, IN",#,70061
"Greene, IN",#,33165
"Hamilton, IN",#,274569
"Hancock, IN",#,70002
"Harrison, IN",#,39364
"Hendricks, IN",#,145448
"Henry, IN",#,49462
"Howard, IN",#,82752
"Huntington, IN",#,37124
"Jackson, IN",#,42376
"Jasper, IN",#,33478
"Jay, IN",#,21253
"Jefferson, IN",#,32428
"Jennings, IN",#,28525
"Johnson, IN",#,139654
"Knox, IN",#,38440
"Kosciusko, IN",#,77358
"LaGrange, IN",#,37128
"Lake, IN",#,496005
"LaPorte, IN",#,111467
"Lawrence, IN",#,46134
"Madison, IN",#,131636
"Marion, IN",#,903393
"Marshall, IN",#,47051
"Martin, IN",#,10334
"Miami, IN",#,36903
"Monroe, IN",#,137974
"Montgomery, IN",#,38124
"Morgan, IN",#,68894
"Newton, IN",#,14244
"Noble, IN",#,47536
"Ohio, IN",#,6128
"Orange, IN",#,19840
"Owen, IN",#,21575
"Parke, IN",#,17339
"Perry, IN",#,19338
"Pike, IN",#,12845
"Porter, IN",#,164343
"Posey, IN",#,25910
"Pulaski, IN",#,13402
"Putnam, IN",#,37963
"Randolph, IN",#,26171
"Ripley, IN",#,28818
"Rush, IN",#,17392
"St. Joseph, IN",#,266931
"Scott, IN",#,24181
"Shelby, IN",#,44436
"Spencer, IN",#,20952
"Starke, IN",#,23363
"Steuben, IN",#,34185
"Sullivan, IN",#,21475
"Switzerland, IN",#,10613
"Tippecanoe, IN",#,172780
"Tipton, IN",#,15936
"Union, IN",#,7516
"Vanderburgh, IN",#,179703
"Vermillion, IN",#,16212
"Vigo, IN",#,107848
"Wabash, IN",#,32888
"Warren, IN",#,8508
"Warrick, IN",#,59689
"Washington, IN",#,28262
"Wayne, IN",#,68917
"Wells, IN",#,27636
"White, IN",#,24643
"Whitley, IN",#,33292
IOWA,#,3046355
"Adair, IA",#,7682
"Adams, IA",#,4029
"Allamakee, IA",#,14330
"Appanoose, IA",#,12887
"Audubon, IA",#,6119
"Benton, IA",#,26076
"Black Hawk, IA",#,131090
"Boone, IA",#,26306
"Bremer, IA",#,24276
"Buchanan, IA",#,20958
"Buena Vista, IA",#,20260
"Butler, IA",#,14867
"Calhoun, IA",#,9670
"Carroll, IA",#,20816
"Cass, IA",#,13956
"Cedar, IA",#,18499
"Cerro Gordo, IA",#,44151
"Cherokee, IA",#,12072
"Chickasaw, IA",#,12439
"Clarke, IA",#,9286
"Clay, IA",#,16667
"Clayton, IA",#,18129
"Clinton, IA",#,49116
"Crawford, IA",#,17096
"Dallas, IA",#,66135
"Davis, IA",#,8753
"Decatur, IA",#,8457
"Delaware, IA",#,17764
"Des Moines, IA",#,40325
"Dickinson, IA",#,16667
"Dubuque, IA",#,93653
"Emmet, IA",#,10302
"Fayette, IA",#,20880
"Floyd, IA",#,16303
"Franklin, IA",#,10680
"Fremont, IA",#,7441
"Greene, IA",#,9336
"Grundy, IA",#,12453
"Guthrie, IA",#,10954
"Hamilton, IA",#,15673
"Hancock, IA",#,11341
"Hardin, IA",#,17534
"Harrison, IA",#,14928
"Henry, IA",#,20145
"Howard, IA",#,9566
"Humboldt, IA",#,9815
"Ida, IA",#,7089
"Iowa, IA",#,16355
"Jackson, IA",#,19848
"Jasper, IA",#,36842
"Jefferson, IA",#,16843
"Johnson, IA",#,130882
"Jones, IA",#,20638
"Keokuk, IA",#,10511
"Kossuth, IA",#,15543
"Lee, IA",#,35862
"Linn, IA",#,211226
"Louisa, IA",#,11387
"Lucas, IA",#,8898
"Lyon, IA",#,11581
"Madison, IA",#,15679
"Mahaska, IA",#,22381
"Marion, IA",#,33309
"Marshall, IA",#,40648
"Mills, IA",#,15059
"Mitchell, IA",#,10776
"Monona, IA",#,9243
"Monroe, IA",#,7970
"Montgomery, IA",#,10740
"Muscatine, IA",#,42745
"O'Brien, IA",#,14398
"Osceola, IA",#,6462
"Page, IA",#,15932
"Palo Alto, IA",#,9421
"Plymouth, IA",#,24986
"Pocahontas, IA",#,7310
"Polk, IA",#,430640
"Pottawattamie, IA",#,93158
"Poweshiek, IA",#,18914
"Ringgold, IA",#,5131
"Sac, IA",#,10350
"Scott, IA",#,165224
"Shelby, IA",#,12167
"Sioux, IA",#,33704
"Story, IA",#,89542
"Tama, IA",#,17767
"Taylor, IA",#,6317
"Union, IA",#,12534
"Van Buren, IA",#,7570
"Wapello, IA",#,35625
"Warren, IA",#,46225
"Washington, IA",#,21704
"Wayne, IA",#,6403
"Webster, IA",#,38013
"Winnebago, IA",#,10866
"Winneshiek, IA",#,21056
"Woodbury, IA",#,102172
"Worth, IA",#,7598
"Wright, IA",#,13229
KANSAS,#,2853118
"Allen, KS",#,13371
"Anderson, KS",#,8102
"Atchison, KS",#,16924
"Barber, KS",#,4861
"Barton, KS",#,27674
"Bourbon, KS",#,15173
"Brown, KS",#,9984
"Butler, KS",#,65880
"Chase, KS",#,2790
"Chautauqua, KS",#,3669
"Cherokee, KS",#,21603
"Cheyenne, KS",#,2726
"Clark, KS",#,2215
"Clay, KS",#,8535
"Cloud, KS",#,9533
"Coffey, KS",#,8601
"Comanche, KS",#,1891
"Cowley, KS",#,36311
"Crawford, KS",#,39134
"Decatur, KS",#,2961
"Dickinson, KS",#,19754
"Doniphan, KS",#,7945
"Douglas, KS",#,110826
"Edwards, KS",#,3037
"Elk, KS",#,2882
"Ellis, KS",#,28452
"Ellsworth, KS",#,6497
"Finney, KS",#,36776
"Ford, KS",#,33848
"Franklin, KS",#,25992
"Geary, KS",#,34362
"Gove, KS",#,2695
"Graham, KS",#,2597
"Grant, KS",#,7829
"Gray, KS",#,6006
"Greeley, KS",#,1247
"Greenwood, KS",#,6689
"Hamilton, KS",#,2690
"Harper, KS",#,6034
"Harvey, KS",#,34684
"Haskell, KS",#,4256
"Hodgeman, KS",#,1916
"Jackson, KS",#,13462
"Jefferson, KS",#,19126
"Jewell, KS",#,3077
"Johnson, KS",#,544179
"Kearny, KS",#,3977
"Kingman, KS",#,7858
"Kiowa, KS",#,2553
"Labette, KS",#,21607
"Lane, KS",#,1750
"Leavenworth, KS",#,76227
"Lincoln, KS",#,3241
"Linn, KS",#,9656
"Logan, KS",#,2756
"Lyon, KS",#,33690
"McPherson, KS",#,29180
"Marion, KS",#,12660
"Marshall, KS",#,10117
"Meade, KS",#,4575
"Miami, KS",#,32787
"Mitchell, KS",#,6373
"Montgomery, KS",#,35471
"Morris, KS",#,5923
"Morton, KS",#,3233
"Nemaha, KS",#,10178
"Neosho, KS",#,16512
"Ness, KS",#,3107
"Norton, KS",#,5671
"Osage, KS",#,16295
"Osborne, KS",#,3858
"Ottawa, KS",#,6091
"Pawnee, KS",#,6973
"Phillips, KS",#,5642
"Pottawatomie, KS",#,21604
"Pratt, KS",#,9656
"Rawlins, KS",#,2519
"Reno, KS",#,64511
"Republic, KS",#,4980
"Rice, KS",#,10083
"Riley, KS",#,71115
